Clover ID,Name,Alternate Name,Price,Price Type,Price Unit,Tax Rates,Cost,Product Code,SKU,Modifier Groups,Quantity,Labels,Hidden,Non-revenue item
,Honey Bourbon 5 Cigars,,5.99,Fixed,,1,,,071610302266,,,,,
,Wild Rum 5 Cigars,,5.99,Fixed,,1,,,071610202856,,,,,
,Dark Stout 5 Cigars,,5.99,Fixed,,1,,,071610302723,,,,,
,Honey Berry 5 Cigars,,5.99,Fixed,,1,,,071610301863,,,,,
,Sweet Aromatic 5 Cigars,,5.99,Fixed,,1,,,071610301924,,,,,
,Honey 5 Cigars,,5.99,Fixed,,1,,,071610301832,,,,,
,Original 5 Cigars,,5.99,Fixed,,1,,,071610301894,,,,,
,Russian Cream 3 Cigars,,3.99,Fixed,,1,,,071610203006,,,,,
,Honey Berry 3 Cigars,,3.99,Fixed,,1,,,071610299573,,,,,
,Sweet Aromatic 1 Cigar,,1.29,Fixed,,1,,,071610301986,,,,,
,Original 1 Cigar,,1.29,Fixed,,1,,,071610301955,,,,,
,Banana Single,,1.59,Fixed,,1,,,071610203105,,,,,
,Honeyberry 1,,1.49,Fixed,,1,,,071610302037,,,,,
,Small Patch,,20.00,Fixed,,1,,,071610203211,,,,,
,Cognac,,6.99,Fixed,,1,,,071610202832,,,,,
,Cognac 1,,2.00,Fixed,,1,,,071610202849,,,,,
,Russian Cream Single,,1.29,Fixed,,1,,,071610303065,,,,,
,Twist 1100mAh Yellow Pen Battery,,19.99,Fixed,,1,,,643462886098,,,,,
,Twist 1100mAh Blue Pen Battery,,19.99,Fixed,,1,,,643462886104,,,,,
,Twist 1100mAh Green Pen Battery,,19.99,Fixed,,1,,,643462886012,,,,,
,Regular Bali Hai,,13.99,Fixed,,1,,,751667074353,,,,,
,Regular Bambu Six Shooter,,50.00,Fixed,,1,,,716165292401,,,,,
,Regular Bambu,,3.99,Fixed,,1,,,752830163287,,,,,
,King Size Natural,,4.99,Fixed,,1,,,653341241740,,,,,
,Regular Beanies,,19.99,Fixed,,1,,,,,,,,
,Regular Beard,,,VARIABLE,,1,,,,,,,,
,Apple Ice,,11.99,Fixed,,1,,,850016078285,,,,,
,Unicorn Dreams,,10.99,Fixed,,1,,,850000453340,,,,,
,Power Pink,,10.99,Fixed,,1,,,860251001191,,,,,
,Mermaid Lagoon,,10.99,Fixed,,1,,,850000453432,,,,,
,Organic Hemp Wick 9ft,,1.99,Fixed,,1,,,629074000817,,,,,
,Organic Hemp Wick 200ft,,14.99,Fixed,,1,,,629074000831,,,,,
,Regular Beer Bong,,75.00,Fixed,,1,,,667240247246,,,,,
,Regular Benson & Hedges,,,VARIABLE,,1,,,,,,,,
,Menthol 100's,,7.99,Fixed,,1,,,02873028,,,,,
,Regular Best Whip,,40.00,Fixed,,1,,,850296000945,,,,,
,Regular Best Whip 1,,75.00,Fixed,,1,,,602883996502,,,,,
,Regular Best Whip Dispenser,,50.00,Fixed,,1,,,811490700079,,,,,
,Regular Best Whip Grande Cream Dispensers,,59.99,Fixed,,1,,,811490700444,,,,,
,Majestic Grape,,1.49,Fixed,,1,,,857545008707,,,,,
,Ballin Blueberry,,1.49,Fixed,,1,,,857545008776,,,,,
,Russian Cream,,1.49,Fixed,,1,,,857545008745,,,,,
,Natural,,1.49,Fixed,,1,,,857545008752,,,,,
,Regular Black,,6.00,Fixed,,1,,,751667046954,,,,,
,Middletons,,2.99,Fixed,,1,,,070137771180,,,,,
,Filter Tips,,1.99,Fixed,,1,,,070137832829,,,,,
,Plastic Tip Wine,,0.79,Fixed,,1,,,070137105237,,,,,
,Plastic Tip Apple,,0.79,Fixed,,1,,,070137100881,,,,,
,Plastic Tip Cream,,0.79,Fixed,,1,,,070137100423,,,,,
,Plastic Tip Jazz,,0.79,Fixed,,1,,,070137111276,,,,,
,Plastic Tip Original,,0.79,Fixed,,1,,,070137100188,,,,,
,Plastic Tip Sweet,,0.79,Fixed,,1,,,070137114291,,,,,
,Plastic Tip Deluxe,,0.79,Fixed,,1,,,070137115069,,,,,
,Wooden Tip Casino,,0.89,Fixed,,1,,,070137112518,,,,,
,Plastic Tip Wine 5 Pk,,4.95,Fixed,,1,,,070137000235,,,,,
,Plastic Tip Apple 5 Pk,,4.95,Fixed,,1,,,070137000884,,,,,
,Plastic Tip Cream 5 Pk,,4.95,Fixed,,1,,,070137000426,,,,,
,Plastic Tip Original 5 Pk,,4.95,Fixed,,1,,,070137000181,,,,,
,Plastic Tip Select 5 Pk,,4.95,Fixed,,1,,,070137000389,,,,,
,Wooden Tip Jazz 5 Pk,,5.45,Fixed,,1,,,070137211167,,,,,
,Wooden Tip Wine 5pk,,5.45,Fixed,,1,,,070137005292,,,,,
,Wooden Tip Original 5pk,,5.45,Fixed,,1,,,070137005254,,,,,
,Wine Wood Tip,,1.29,Fixed,,1,,,070137105299,,,,,
,Sweets Wood Tip Single,,0.89,Fixed,,1,,,070137114222,,,,,
,Jazz Wood Tip,,0.89,Fixed,,1,,,070137111399,,,,,
,Regular Blaze Pre-roll,,4.99,Fixed,,1,,,725330733229,,,,,
,Regular Blazer Big Shot Torch,,100.00,Fixed,,1,,,853059001739,,,,,
,1 1\4 Pink Rolling,,1.99,Fixed,,1,,,051497011628,,,,,
,Blazy Unbleached Regular,,1.99,Fixed,,1,,,051497243852,,,,,
,50 Pink Cones,,25.00,Fixed,,1,,,051497221744,,,,,
,Blazy Tips,,0.99,Fixed,,1,,,051497066734,,,,,
,1 1\4 Pink 6 Cones,,2.99,Fixed,,1,,,051497036966,,,,,
,King Size Slim,,2.99,Fixed,,1,,,051497243876,,,,,
,Pink 50 Count 53mm Shortys,,21.99,Fixed,,1,,,051497221782,,,,,
,Deluxe Rolling Kit,,3.99,Fixed,,1,,,051497212063,,,,,
,King Size 3 Cone,,3.99,Fixed,,1,,,051497221706,,,,,
,Cotton Buds,,6.99,Fixed,,1,,,051497066796,,,,,
,Purple 50 Count 98 Mm Cones,,25.00,Fixed,,1,,,051497315603,,,,,
,1 1/4 Purple 6 pack,,2.99,Fixed,,1,,,051497315566,,,,,
,Dab Station,,35.00,Fixed,,1,,,051497221737,,,,,
,Shortys Cones,,3.99,Fixed,,1,,,051497212049,,,,,
,King Purple 6 Cones,,3.99,Fixed,,1,,,051497315542,,,,,
,Regular Blazy Susan 1 1\4 Purple Rolling Papers 50ct,,2.99,Fixed,,1,,,051497315504,,,,,
,Regular Blink Red,,35.00,Fixed,,1,,,018505143078,,,,,
,Regular Blink Torch Black,,35.00,Fixed,,1,,,018505143047,,,,,
,Blink Mini Neon,,4.99,Fixed,,1,,,018505141128,,,,,
,Regular Bliss Shots,,20.00,Fixed,,1,,,867706000563,,,,,
,Kratom Bliss Powder Green,,18.00,Fixed,,1,,,867706000594,,,,,
,Kratom Bliss Red Powder,,18.00,Fixed,,1,,,867706000617,,,,,
,Kratom Bliss Capsules Red,,18.00,Fixed,,1,,,867706000457,,,,,
,Kratom B!iss Grern Capsulate,,18.00,Fixed,,1,,,867706000471,,,,,
,Cherry,,0.69,Fixed,,1,,,025900100605,,,,,
,Berry,,0.69,Fixed,,1,,,025900100636,,,,,
,Wine,,0.79,Fixed,,1,,,025900100599,,,,,
,Regular Blunt and Roses,,1.99,Fixed,,1,,,619682999405,,,,,
,Unbleached Organic Hemp King Size,,2.99,Fixed,,1,,,887982094186,,,,,
,Pure Hemp Papers,,1.99,Fixed,,1,,,850730000128,,,,,
